Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.2018,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18
ALNINC_GR_8,3,,,,,,,,,7-D,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,101",100-m
ACEPEN_HF_12,3,,,,rep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC_GR_11B,3,,,,,,,,,9,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,101"
BETPOP_WM_7,3,,,,,,,,,7-D,7,9,11,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,"100-m,100","100-m,100","100-m,100","100-m,100"
BETPOPX_X,3,,,,,,,,,,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,,,"100-m,100","100-m,100","100-m,100","100-m,100"
VIBCAS_SH_1,4,,,,,,,,9,11,15,11,15,15,19,,19,,,,,,,,,,,,,,,,,100,100,101,,,,,,,,,,
VIBCAS_GR_9,4,,,,,,,,7,9,11,11,15,15,19,,19,,,,,,,,,,,,,,,,,100,100,101,,,,,,,,,,
SPIALB_GR_12,4,,,,,9,11,11,11,11,11,15,15,17,19,,19,,,,,,,,,55,55,57,60,62,63,67,67,67,67,69,71,71,73,74,77,77,81,85,88,88
SPITOM_WM_5A,4,,,,,7,9,9,11,11,11,11,11,15,"60,15","65,19","65,19",69,WEED FLOWER?,,,,,,,,,,,51,55,60,61,64,67,67,67,67,69,71,74,74,79,81,85,88
SPIALB_WM_2A,4,,,,,,7,9,9,11,11,11,15,15,17,19,19,,,,,,,,,,51,55,55,57,57,64,65,67,67,67,69,71,73,73,78,78,79,84,88,88
MYRGAL_SH_1A,4,,,"51-M,","60-M,",63-M,63-M,65-M,65-M,69-M,67-M,69,11,15,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,"101,101-m",,,,,,,,
AROMEL_WM_2,4,,,,,,,7,9,9,11,15,15,15,"51,17","55,19","51,19",62,65,65,67,69,71,75,75,75,75,75,75,78,78,79,79,81,"81,100","81,100","81,100","81,100","87,100","89,100","89,100","89,100","81,100","85,100","88,101",90
AROMEL_WM_7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB_SH_9A,4,,,,",7",10,11,11,11,11,15,15,15,17,19,19,19,,,,,,,,,55,55,59,61,65,67,67,67,67,67,67,69,71,73,74,77,77,81,85,85,85
SPITOM_WM_5B,4,,,,,7,9,9,11,11,11,11,15,15,17,"60,19",19,,,,,,,,,,,51,55,57,57,60,61,64,67,67,69,71,71,71,74,74,79,81,85,85
MYRGAL_SH_2A,4,,"51-M,","60-M,","60-M,",65-M,65-M,65-M,65-M,65-M,65-M,69,11,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,"101,101-m",,,,,,,,
MYRGAL_GR_8A,4,,,,,,,,,,,,,9,11,17,17,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,
SPIALB_HF_1,4,,,,,7,11,11,11,11,11,11,15,17,19,19,19,,,,,,,,51,55,55,59,59,61,62,63,67,67,67,67,67,67,67,69,71,72,79,81,85,86
SPIALB_WM_2B,4,,,,,,9,11,11,11,11,11,15,17,17,19,19,,,,,,,,,55,55,55,59,62,65,67,67,69,,71,71,71,73,73,76,76,81,82,84,84
SPITOM_SH_99,4,,,,,,9,9,11,11,11,11,11,15,17,19,19,,,,,,,,,53,51,51,51,55,55,59,59,62,65,67,67,67,67,67,69,71,79,79,79,81
MYRGAL_GR_8B,4,,,,,,,,,,,,,9,9,15,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,101,,,,,
SPIALB_HF_4A,4,,,,,7,9,9,11,11,11,11,15,15,17,19,19,,,,,,,,,55,55,59,59,60,62,67,67,67,67,67,67,67,67,69,72,72,79,81,85,85
SPITOM_SH_9,4,,,,,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,51,51,51,51,55,55,57,59,64,65,67,67,67,67,69,72,72,79,81,84,85
SPITOM_WM_5C,4,,,,",7",7,7,11,11,11,11,11-D,11,15,17,19,19,,,,,,,,,51,51,51,51,55,55,59,59,64,65,67,67,67,69,69,72,72,79,81,84,84
