"Individual","Plot","ht.diff","rgr","ind_plot","spp","year","provenance.lat","provenance.long","budburst","leafout","risk","bb.avg","dvr.avg","lo.avg","lo.sd","growthform"
"ALNINC_GR_11A",3,252.2,12.8993979479766,"ALNINC_GR_11A 3","ALNINC",2018,44.794942,-71.146683,103,124,21,100,18,118,8.48528137423857,"tree"
"BETALL_SH_4",3,161.2,7.60066340303674,"BETALL_SH_4 3","BETALL",2019,45.932675,-74.02507,107,135,28,105,28,133,2.82842712474619,"tree"
"BETALL_SH_4",3,161.2,7.60066340303674,"BETALL_SH_4 3","BETALL",2018,45.932675,-74.02507,103,131,28,105,28,133,2.82842712474619,"tree"
"BETPOP_GR_5A",3,203.4,9.4842815711297,"BETPOP_GR_5A 3","BETPOP",2019,44.794942,-71.146683,112,129,17,107.5,19,126.5,3.53553390593274,"tree"
"BETPOP_GR_5A",3,203.4,9.4842815711297,"BETPOP_GR_5A 3","BETPOP",2018,44.794942,-71.146683,103,124,21,107.5,19,126.5,3.53553390593274,"tree"
"BETALL_GR_12",3,227,11.7176181296633,"BETALL_GR_12 3","BETALL",2019,44.794942,-71.146683,107,123,16,110.5,13,123.5,0.707106781186548,"tree"
"BETALL_GR_12",3,227,11.7176181296633,"BETALL_GR_12 3","BETALL",2018,44.794942,-71.146683,114,124,10,110.5,13,123.5,0.707106781186548,"tree"
"ALNINC_SH_5",3,17.2,1.06934080105257,"ALNINC_SH_5 3","ALNINC",2019,45.932675,-74.02507,103,123,20,108.5,15,123.5,0.707106781186548,"tree"
"ALNINC_SH_5",3,17.2,1.06934080105257,"ALNINC_SH_5 3","ALNINC",2018,45.932675,-74.02507,114,124,10,108.5,15,123.5,0.707106781186548,"tree"
"BETPAP_GR_8",3,119.2,11.4301210453625,"BETPAP_GR_8 3","BETPAP",2019,44.794942,-71.146683,112,123,11,107.5,16,123.5,0.707106781186548,"tree"
"BETPAP_GR_8",3,119.2,11.4301210453625,"BETPAP_GR_8 3","BETPAP",2018,44.794942,-71.146683,103,124,21,107.5,16,123.5,0.707106781186548,"tree"
"AMECAN_GR_10B",3,68.4,4.8146571675252,"AMECAN_GR_10B 3","AMECAN",2019,44.794942,-71.146683,93,112,19,94.5,23.5,118,8.48528137423857,"shrub"
"AMECAN_GR_10B",3,68.4,4.8146571675252,"AMECAN_GR_10B 3","AMECAN",2018,44.794942,-71.146683,96,124,28,94.5,23.5,118,8.48528137423857,"shrub"
"BETALL_GR_1",3,158,7.13363063021238,"BETALL_GR_1 3","BETALL",2019,44.794942,-71.146683,112,135,23,113,18.5,131.5,4.94974746830583,"tree"
"BETALL_GR_1",3,158,7.13363063021238,"BETALL_GR_1 3","BETALL",2018,44.794942,-71.146683,114,128,14,113,18.5,131.5,4.94974746830583,"tree"
"BETPOP_HF_1",3,219.6,10.8780137256389,"BETPOP_HF_1 3","BETPOP",2019,42.531705,-72.18992,112,119,7,113,8.5,121.5,3.53553390593274,"tree"
"BETPOP_HF_1",3,219.6,10.8780137256389,"BETPOP_HF_1 3","BETPOP",2018,42.531705,-72.18992,114,124,10,113,8.5,121.5,3.53553390593274,"tree"
"ALNINC_GR_1",3,178.4,7.64539573294188,"ALNINC_GR_1 3","ALNINC",2019,44.794942,-71.146683,100,119,19,103.5,18,121.5,3.53553390593274,"tree"
"ALNINC_GR_1",3,178.4,7.64539573294188,"ALNINC_GR_1 3","ALNINC",2018,44.794942,-71.146683,107,124,17,103.5,18,121.5,3.53553390593274,"tree"
"BETPOP_GR_5B",3,236.2,9.61491633861567,"BETPOP_GR_5B 3","BETPOP",2019,44.794942,-71.146683,112,129,17,113,13.5,126.5,3.53553390593274,"tree"
"BETPOP_GR_5B",3,236.2,9.61491633861567,"BETPOP_GR_5B 3","BETPOP",2018,44.794942,-71.146683,114,124,10,113,13.5,126.5,3.53553390593274,"tree"
"ALNINC_GR_11B",3,157.4,6.86853893584156,"ALNINC_GR_11B 3","ALNINC",2019,44.794942,-71.146683,97,119,22,100,21.5,121.5,3.53553390593274,"tree"
"ALNINC_GR_11B",3,157.4,6.86853893584156,"ALNINC_GR_11B 3","ALNINC",2018,44.794942,-71.146683,103,124,21,100,21.5,121.5,3.53553390593274,"tree"
"BETPOP_WM_7",3,241.4,7.48816849547295,"BETPOP_WM_7 3","BETPOP",2019,44.112337,-71.230138,103,119,16,106.5,15,121.5,3.53553390593274,"tree"
"BETPOP_WM_7",3,241.4,7.48816849547295,"BETPOP_WM_7 3","BETPOP",2018,44.112337,-71.230138,110,124,14,106.5,15,121.5,3.53553390593274,"tree"
"ALNINC_GR_8",3,215.8,7.55493184825294,"ALNINC_GR_8 3","ALNINC",2019,44.794942,-71.146683,97,119,22,102,19.5,121.5,3.53553390593274,"tree"
"ALNINC_GR_8",3,215.8,7.55493184825294,"ALNINC_GR_8 3","ALNINC",2018,44.794942,-71.146683,107,124,17,102,19.5,121.5,3.53553390593274,"tree"
"VIBCAS_SH_1",4,65.6,6.65387910925671,"VIBCAS_SH_1 4","VIBCAS",2019,45.932675,-74.02507,100,115,15,100,18.5,118.5,4.94974746830583,"shrub"
"VIBCAS_SH_1",4,65.6,6.65387910925671,"VIBCAS_SH_1 4","VIBCAS",2018,45.932675,-74.02507,100,122,22,100,18.5,118.5,4.94974746830583,"shrub"
"VIBCAS_GR_9",4,54.2,6.69993875585228,"VIBCAS_GR_9 4","VIBCAS",2019,44.794942,-71.146683,103,112,9,103,14,117,7.07106781186548,"shrub"
"VIBCAS_GR_9",4,54.2,6.69993875585228,"VIBCAS_GR_9 4","VIBCAS",2018,44.794942,-71.146683,103,122,19,103,14,117,7.07106781186548,"shrub"
"SPIALB_GR_12",4,-21.2,-2.18524605457915,"SPIALB_GR_12 4","SPIALB",2019,44.794942,-71.146683,97,112,15,93,24,117,7.07106781186548,"shrub"
"SPIALB_GR_12",4,-21.2,-2.18524605457915,"SPIALB_GR_12 4","SPIALB",2018,44.794942,-71.146683,89,122,33,93,24,117,7.07106781186548,"shrub"
"SPITOM_WM_5A",4,-23.4,-1.54558759816599,"SPITOM_WM_5A 4","SPITOM",2019,44.112337,-71.230138,100,115,15,96.5,23,119.5,6.36396103067893,"shrub"
"SPITOM_WM_5A",4,-23.4,-1.54558759816599,"SPITOM_WM_5A 4","SPITOM",2018,44.112337,-71.230138,93,124,31,96.5,23,119.5,6.36396103067893,"shrub"
"SPIALB_WM_2A",4,-29.4,-3.62905493689369,"SPIALB_WM_2A 4","SPIALB",2019,44.112337,-71.230138,97,115,18,96.5,23,119.5,6.36396103067893,"shrub"
"SPIALB_WM_2A",4,-29.4,-3.62905493689369,"SPIALB_WM_2A 4","SPIALB",2018,44.112337,-71.230138,96,124,28,96.5,23,119.5,6.36396103067893,"shrub"
"MYRGAL_SH_1A",4,12.6,1.69076330043934,"MYRGAL_SH_1A 4","MYRGAL",2019,45.932675,-74.02507,112,119,7,113,8.5,121.5,3.53553390593274,"shrub"
"MYRGAL_SH_1A",4,12.6,1.69076330043934,"MYRGAL_SH_1A 4","MYRGAL",2018,45.932675,-74.02507,114,124,10,113,8.5,121.5,3.53553390593274,"shrub"
"AROMEL_WM_2",4,43.6,6.62510211098056,"AROMEL_WM_2 4","AROMEL",2019,44.112337,-71.230138,93,129,36,96.5,30,126.5,3.53553390593274,"shrub"
"AROMEL_WM_2",4,43.6,6.62510211098056,"AROMEL_WM_2 4","AROMEL",2018,44.112337,-71.230138,100,124,24,96.5,30,126.5,3.53553390593274,"shrub"
"SPIALB_SH_9A",4,-61.6,-10.6919840346182,"SPIALB_SH_9A 4","SPIALB",2019,45.932675,-74.02507,93,112,19,93,24,117,7.07106781186548,"shrub"
"SPIALB_SH_9A",4,-61.6,-10.6919840346182,"SPIALB_SH_9A 4","SPIALB",2018,45.932675,-74.02507,93,122,29,93,24,117,7.07106781186548,"shrub"
"SPITOM_WM_5B",4,36.6,5.45916943577261,"SPITOM_WM_5B 4","SPITOM",2019,44.112337,-71.230138,97,115,18,95,24.5,119.5,6.36396103067893,"shrub"
"SPITOM_WM_5B",4,36.6,5.45916943577261,"SPITOM_WM_5B 4","SPITOM",2018,44.112337,-71.230138,93,124,31,95,24.5,119.5,6.36396103067893,"shrub"
"MYRGAL_SH_2A",4,7,1.02278849120419,"MYRGAL_SH_2A 4","MYRGAL",2019,45.932675,-74.02507,112,115,3,113,6.5,119.5,6.36396103067893,"shrub"
"MYRGAL_SH_2A",4,7,1.02278849120419,"MYRGAL_SH_2A 4","MYRGAL",2018,45.932675,-74.02507,114,124,10,113,6.5,119.5,6.36396103067893,"shrub"
"MYRGAL_GR_8A",4,26.6,4.96226824344838,"MYRGAL_GR_8A 4","MYRGAL",2019,44.794942,-71.146683,112,119,7,114,11,125,8.48528137423857,"shrub"
"MYRGAL_GR_8A",4,26.6,4.96226824344838,"MYRGAL_GR_8A 4","MYRGAL",2018,44.794942,-71.146683,116,131,15,114,11,125,8.48528137423857,"shrub"
"SPIALB_HF_1",4,-17.4,-1.65304302939378,"SPIALB_HF_1 4","SPIALB",2019,42.531705,-72.18992,93,112,19,93,24,117,7.07106781186548,"shrub"
"SPIALB_HF_1",4,-17.4,-1.65304302939378,"SPIALB_HF_1 4","SPIALB",2018,42.531705,-72.18992,93,122,29,93,24,117,7.07106781186548,"shrub"
"SPIALB_WM_2B",4,49.2,4.42478955855645,"SPIALB_WM_2B 4","SPIALB",2019,44.112337,-71.230138,97,115,18,95,24.5,119.5,6.36396103067893,"shrub"
"SPIALB_WM_2B",4,49.2,4.42478955855645,"SPIALB_WM_2B 4","SPIALB",2018,44.112337,-71.230138,93,124,31,95,24.5,119.5,6.36396103067893,"shrub"
"SPITOM_SH_99",4,79.6,8.80185727232039,"SPITOM_SH_99 4","SPITOM",2019,45.932675,-74.02507,100,119,19,96.5,25,121.5,3.53553390593274,"shrub"
"SPITOM_SH_99",4,79.6,8.80185727232039,"SPITOM_SH_99 4","SPITOM",2018,45.932675,-74.02507,93,124,31,96.5,25,121.5,3.53553390593274,"shrub"
"MYRGAL_GR_8B",4,28.9,5.88094404556802,"MYRGAL_GR_8B 4","MYRGAL",2019,44.794942,-71.146683,123,150,27,119.5,21,140.5,13.4350288425444,"shrub"
"MYRGAL_GR_8B",4,28.9,5.88094404556802,"MYRGAL_GR_8B 4","MYRGAL",2018,44.794942,-71.146683,116,131,15,119.5,21,140.5,13.4350288425444,"shrub"
"SPITOM_SH_9",4,63.4,7.51482757572909,"SPITOM_SH_9 4","SPITOM",2019,45.932675,-74.02507,107,119,12,101.5,20,121.5,3.53553390593274,"shrub"
"SPITOM_SH_9",4,63.4,7.51482757572909,"SPITOM_SH_9 4","SPITOM",2018,45.932675,-74.02507,96,124,28,101.5,20,121.5,3.53553390593274,"shrub"
"SPITOM_WM_5C",4,70.6,8.75799370519418,"SPITOM_WM_5C 4","SPITOM",2019,44.112337,-71.230138,97,115,18,96.5,23,119.5,6.36396103067893,"shrub"
"SPITOM_WM_5C",4,70.6,8.75799370519418,"SPITOM_WM_5C 4","SPITOM",2018,44.112337,-71.230138,96,124,28,96.5,23,119.5,6.36396103067893,"shrub"
"SPIALB_SH_8",4,67,6.2121204876727,"SPIALB_SH_8 4","SPIALB",2019,45.932675,-74.02507,93,112,19,93,24,117,7.07106781186548,"shrub"
"SPIALB_SH_8",4,67,6.2121204876727,"SPIALB_SH_8 4","SPIALB",2018,45.932675,-74.02507,93,122,29,93,24,117,7.07106781186548,"shrub"
"MYRGAL_SH_1B",4,121.8,10.5364914792198,"MYRGAL_SH_1B 4","MYRGAL",2019,45.932675,-74.02507,112,135,23,112,23,135,NA,"shrub"
"SPIALB_GR_3",4,74.8,5.88262402304051,"SPIALB_GR_3 4","SPIALB",2019,44.794942,-71.146683,97,112,15,95,23,118,8.48528137423857,"shrub"
"SPIALB_GR_3",4,74.8,5.88262402304051,"SPIALB_GR_3 4","SPIALB",2018,44.794942,-71.146683,93,124,31,95,23,118,8.48528137423857,"shrub"
"VIBCAS_WM_4",4,74.6,7.22540479256577,"VIBCAS_WM_4 4","VIBCAS",2019,44.112337,-71.230138,103,115,12,103,16.5,119.5,6.36396103067893,"shrub"
"VIBCAS_WM_4",4,74.6,7.22540479256577,"VIBCAS_WM_4 4","VIBCAS",2018,44.112337,-71.230138,103,124,21,103,16.5,119.5,6.36396103067893,"shrub"
"VIBCAS_GR_12A",4,38.5,3.68169323364468,"VIBCAS_GR_12A 4","VIBCAS",2019,44.794942,-71.146683,100,115,15,101.5,18,119.5,6.36396103067893,"shrub"
"VIBCAS_GR_12A",4,38.5,3.68169323364468,"VIBCAS_GR_12A 4","VIBCAS",2018,44.794942,-71.146683,103,124,21,101.5,18,119.5,6.36396103067893,"shrub"
"MYRGAL_WM_6A",4,47.3,7.98507696217771,"MYRGAL_WM_6A 4","MYRGAL",2019,44.112337,-71.230138,112,127,15,113,16,129,2.82842712474619,"shrub"
"MYRGAL_WM_6A",4,47.3,7.98507696217771,"MYRGAL_WM_6A 4","MYRGAL",2018,44.112337,-71.230138,114,131,17,113,16,129,2.82842712474619,"shrub"
"AROMEL_WM_15",4,29,3.68907512374367,"AROMEL_WM_15 4","AROMEL",2019,44.112337,-71.230138,97,129,32,96.5,30,126.5,3.53553390593274,"shrub"
"AROMEL_WM_15",4,29,3.68907512374367,"AROMEL_WM_15 4","AROMEL",2018,44.112337,-71.230138,96,124,28,96.5,30,126.5,3.53553390593274,"shrub"
"SPIALB_SH_4A",4,99.2,7.84954729813069,"SPIALB_SH_4A 4","SPIALB",2019,45.932675,-74.02507,93,112,19,93,24,117,7.07106781186548,"shrub"
"SPIALB_SH_4A",4,99.2,7.84954729813069,"SPIALB_SH_4A 4","SPIALB",2018,45.932675,-74.02507,93,122,29,93,24,117,7.07106781186548,"shrub"
"SPIALB_SH_7",4,84.1,6.78607814232006,"SPIALB_SH_7 4","SPIALB",2019,45.932675,-74.02507,93,115,22,93,25.5,118.5,4.94974746830583,"shrub"
"SPIALB_SH_7",4,84.1,6.78607814232006,"SPIALB_SH_7 4","SPIALB",2018,45.932675,-74.02507,93,122,29,93,25.5,118.5,4.94974746830583,"shrub"
"MYRGAL_WM_6B",4,8.8,1.30361817863244,"MYRGAL_WM_6B 4","MYRGAL",2019,44.112337,-71.230138,112,127,15,113,12.5,125.5,2.12132034355964,"shrub"
"MYRGAL_WM_6B",4,8.8,1.30361817863244,"MYRGAL_WM_6B 4","MYRGAL",2018,44.112337,-71.230138,114,124,10,113,12.5,125.5,2.12132034355964,"shrub"
"SPIALB_GR_7",4,21.4,1.70932909829945,"SPIALB_GR_7 4","SPIALB",2019,44.794942,-71.146683,93,112,19,93,25,118,8.48528137423857,"shrub"
"SPIALB_GR_7",4,21.4,1.70932909829945,"SPIALB_GR_7 4","SPIALB",2018,44.794942,-71.146683,93,124,31,93,25,118,8.48528137423857,"shrub"
"SPIALB_SH_4B",4,48.2,4.58769261809937,"SPIALB_SH_4B 4","SPIALB",2019,45.932675,-74.02507,93,115,22,91,28.5,119.5,6.36396103067893,"shrub"
"SPIALB_SH_4B",4,48.2,4.58769261809937,"SPIALB_SH_4B 4","SPIALB",2018,45.932675,-74.02507,89,124,35,91,28.5,119.5,6.36396103067893,"shrub"
"SPIALB_WM_7A",4,64.6,5.84231348699841,"SPIALB_WM_7A 4","SPIALB",2019,44.112337,-71.230138,97,112,15,95,23,118,8.48528137423857,"shrub"
